,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
153,Toyota Corolla Altis,Toyota,2016,"73,979 km",Petrol,Manual,"EMI ₹9,892/m*",₹4.45 lakh
154,Maruti Alto 800,Maruti,2017,"52,642 km",Petrol,Manual,"EMI ₹3,890/m*",₹1.99 lakh
155,Renault Kwid,Renault,2016,"67,101 km",Petrol,Manual,"EMI ₹3,920/m*",₹1.76 lakh
156,Hyundai Elite i20,Hyundai,2017,"50,007 km",Petrol,Manual,"EMI ₹8,144/m*",₹4.17 lakh
157,Honda Amaze,Honda,2014,"78,637 km",Petrol,Manual,"EMI ₹9,130/m*",₹2.75 lakh
158,Hyundai Elite i20,Hyundai,2019,"1,36,954 km",Petrol,Auto,"EMI ₹10,119/m*",₹4.55 lakh
159,Honda City,Honda,2019,"80,271 km",Petrol,Auto,"EMI ₹10,042/m*",₹5.69 lakh
160,Maruti Alto 800,Maruti,2018,"37,240 km",Petrol,Manual,"EMI ₹3,659/m*",₹2.07 lakh
161,Maruti Alto 800,Maruti,2014,"1,10,309 km",Petrol,Manual,"EMI ₹4,981/m*",₹1.50 lakh
162,Maruti IGNIS,Maruti,2018,"1,33,249 km",Petrol,Manual,"EMI ₹5,802/m*",₹2.61 lakh
163,Hyundai Xcent,Hyundai,2018,"65,504 km",Petrol,Manual,"EMI ₹6,180/m*",₹3.50 lakh
164,Renault Kiger,Renault,2021,"46,377 km",Petrol,Manual,"EMI ₹7,916/m*",₹4.48 lakh
165,Honda Jazz,Honda,2016,"47,771 km",Petrol,Manual,"EMI ₹6,611/m*",₹2.97 lakh
166,Maruti Alto 800,Maruti,2017,"96,802 km",Petrol,Manual,"EMI ₹3,804/m*",₹1.95 lakh
167,Maruti Alto 800,Maruti,2014,"46,309 km",Petrol,Manual,"EMI ₹6,028/m*",₹1.81 lakh
168,Maruti Swift Dzire,Maruti,2016,"49,097 km",Petrol,Manual,"EMI ₹7,664/m*",₹3.45 lakh
169,Renault Kwid,Renault,2020,"38,385 km",Petrol,Auto,"EMI ₹5,066/m*",₹2.87 lakh
170,Maruti Baleno,Maruti,2021,"74,343 km",CNG,Manual,"EMI ₹9,059/m*",₹5.13 lakh
171,Hyundai Eon,Hyundai,2017,"39,805 km",Petrol,Manual,"EMI ₹3,880/m*",₹1.98 lakh
172,Honda Brio,Honda,2015,"69,450 km",Petrol,Manual,"EMI ₹5,455/m*",₹2.07 lakh
173,Maruti Baleno,Maruti,2020,"62,577 km",Petrol,Manual,"EMI ₹8,864/m*",₹5.02 lakh
174,Renault Kwid,Renault,2020,"55,336 km",Petrol,Manual,"EMI ₹4,809/m*",₹2.72 lakh
175,Maruti Swift Dzire,Maruti,2015,"98,682 km",Petrol,Manual,"EMI ₹8,495/m*",₹3.23 lakh
176,Honda Brio,Honda,2014,"67,673 km",Petrol,Manual,"EMI ₹6,813/m*",₹2.05 lakh
177,Maruti Alto 800,Maruti,2017,"42,164 km",Petrol,Manual,"EMI ₹4,156/m*",₹2.13 lakh
178,Volkswagen VIRTUS,Volkswagen,2023,"61,158 km",Petrol,Auto,"EMI ₹15,592/m*",₹9.11 lakh
179,Maruti Wagon R 1.0,Maruti,2014,"66,371 km",Petrol,Manual,"EMI ₹7,832/m*",₹2.36 lakh
180,Mahindra BOLERO NEO,Mahindra,2021,"1,24,389 km",Diesel,Manual,"EMI ₹15,696/m*",₹7.06 lakh
181,Hyundai Grand i10,Hyundai,2017,"66,826 km",CNG,Manual,"EMI ₹9,255/m*",₹3.51 lakh
182,Hyundai Eon,Hyundai,2017,"1,10,624 km",CNG,Manual,"EMI ₹5,129/m*",₹1.95 lakh
183,Hyundai Verna,Hyundai,2022,"67,085 km",Petrol,Manual,"EMI ₹15,491/m*",₹9.05 lakh
184,Tata ALTROZ,Tata,2021,"1,23,026 km",CNG,Manual,"EMI ₹9,630/m*",₹4.33 lakh
185,Tata Tiago,Tata,2020,"70,575 km",Petrol,Auto,"EMI ₹7,173/m*",₹4.06 lakh
186,Hyundai Grand i10,Hyundai,2015,"20,964 km",Petrol,Manual,"EMI ₹8,877/m*",₹3.37 lakh
187,Ford Ecosport,Ford,2016,"1,00,877 km",Petrol,Auto,"EMI ₹7,631/m*",₹3.43 lakh
188,Hyundai GRAND I10 NIOS,Hyundai,2021,"31,249 km",Petrol,Auto,"EMI ₹8,901/m*",₹5.04 lakh
189,Hyundai Eon,Hyundai,2017,"18,625 km",Petrol,Manual,"EMI ₹4,396/m*",₹2.25 lakh
190,Tata Tiago,Tata,2017,"53,232 km",Petrol,Manual,"EMI ₹5,706/m*",₹2.92 lakh
191,Hyundai Grand i10,Hyundai,2017,"65,345 km",CNG,Manual,"EMI ₹8,983/m*",₹3.41 lakh
192,Hyundai Eon,Hyundai,2015,"49,356 km",Petrol,Manual,"EMI ₹4,884/m*",₹1.85 lakh
193,Mahindra XUV500,Mahindra,2017,"83,342 km",Diesel,Manual,"EMI ₹13,910/m*",₹6.25 lakh
194,Maruti Alto 800,Maruti,2017,"83,238 km",Petrol,Manual,"EMI ₹3,687/m*",₹1.89 lakh
195,Hyundai Eon,Hyundai,2017,"25,201 km",Petrol,Manual,"EMI ₹4,354/m*",₹2.23 lakh
196,Honda Brio,Honda,2015,"39,409 km",Petrol,Manual,"EMI ₹6,725/m*",₹2.55 lakh
197,Hyundai Grand i10,Hyundai,2017,"57,995 km",Petrol,Manual,"EMI ₹6,008/m*",₹3.07 lakh
198,Honda City,Honda,2016,"66,622 km",Petrol,Manual,"EMI ₹9,907/m*",₹4.45 lakh
199,Hyundai Grand i10,Hyundai,2016,"67,039 km",Petrol,Manual,"EMI ₹6,870/m*",₹3.09 lakh
200,Tata ALTROZ,Tata,2023,"30,120 km",Petrol,Auto,"EMI ₹10,710/m*",₹6.07 lakh
201,Tata NEXON,Tata,2022,"35,118 km",Petrol,Auto,"EMI ₹12,982/m*",₹7.35 lakh
202,Hyundai Xcent,Hyundai,2015,"61,983 km",Petrol,Manual,"EMI ₹8,817/m*",₹3.35 lakh
203,Maruti Alto K10,Maruti,2016,"79,235 km",Petrol,Manual,"EMI ₹4,546/m*",₹2.04 lakh
204,Tata Zest,Tata,2014,"64,879 km",Diesel,Manual,"EMI ₹11,966/m*",₹2.54 lakh
205,Hyundai Grand i10,Hyundai,2018,"86,919 km",CNG,Auto,"EMI ₹8,755/m*",₹3.94 lakh
206,Honda Jazz,Honda,2017,"62,700 km",Petrol,Manual,"EMI ₹7,011/m*",₹3.59 lakh
207,Volkswagen Polo,Volkswagen,2017,"1,12,200 km",Petrol,Auto,"EMI ₹9,188/m*",₹4.13 lakh
208,Ford FREESTYLE,Ford,2018,"56,895 km",Petrol,Manual,"EMI ₹5,726/m*",₹3.24 lakh
209,Mahindra XUV300,Mahindra,2019,"1,33,882 km",Diesel,Manual,"EMI ₹12,995/m*",₹5.84 lakh
210,KIA SELTOS,KIA,2023,"39,263 km",Petrol,Auto,"EMI ₹20,889/m*",₹12.20 lakh
211,Maruti Baleno,Maruti,2020,"52,477 km",Petrol,Manual,"EMI ₹7,370/m*",₹4.17 lakh
212,Mahindra MARAZZO,Mahindra,2019,"81,942 km",Diesel,Manual,"EMI ₹9,082/m*",₹5.14 lakh
213,Renault Kwid,Renault,2020,"98,530 km",Petrol,Manual,"EMI ₹4,497/m*",₹2.55 lakh
214,Hyundai Creta,Hyundai,2019,"92,083 km",CNG,Auto,"EMI ₹15,536/m*",₹8.16 lakh
215,Hyundai Grand i10,Hyundai,2018,"66,773 km",Petrol,Manual,"EMI ₹6,593/m*",₹3.73 lakh
216,Ford Figo Aspire,Ford,2018,"52,950 km",CNG,Manual,"EMI ₹7,452/m*",₹3.35 lakh
217,Renault Kwid,Renault,2022,"27,697 km",Petrol,Auto,"EMI ₹6,304/m*",₹3.57 lakh
218,Hyundai Eon,Hyundai,2014,"1,13,374 km",CNG,Manual,"EMI ₹19,382/m*",₹2.18 lakh
219,Maruti Alto 800,Maruti,2017,"74,892 km",Petrol,Manual,"EMI ₹4,258/m*",₹2.18 lakh
220,Volkswagen TAIGUN,Volkswagen,2022,"55,492 km",Petrol,Auto,"EMI ₹16,971/m*",₹9.91 lakh
221,Skoda Rapid,Skoda,2017,"1,20,361 km",Petrol,Auto,"EMI ₹7,671/m*",₹3.45 lakh
222,Hyundai Grand i10,Hyundai,2018,"1,11,736 km",Petrol,Manual,"EMI ₹7,207/m*",₹3.24 lakh
223,Renault Kwid,Renault,2017,"79,870 km",Petrol,Manual,"EMI ₹3,826/m*",₹1.96 lakh
224,Hyundai Grand i10,Hyundai,2017,"1,04,654 km",Petrol,Manual,"EMI ₹6,920/m*",₹3.11 lakh
225,Hyundai Grand i10,Hyundai,2018,"79,336 km",Petrol,Auto,"EMI ₹6,787/m*",₹3.84 lakh
226,Hyundai Grand i10,Hyundai,2016,"46,536 km",Petrol,Manual,"EMI ₹6,924/m*",₹3.11 lakh
227,Maruti Eeco,Maruti,2020,"65,614 km",Petrol,Manual,"EMI ₹6,348/m*",₹3.60 lakh
228,Ford Ecosport,Ford,2018,"90,566 km",Diesel,Manual,"EMI ₹9,794/m*",₹5.01 lakh
