,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
34,Renault Duster,Renault,2021,"91,138 km",Petrol,Manual,"EMI ₹11,492/m*",₹6.51 lakh
35,Datsun Redi Go,Datsun,2016,"63,052 km",Petrol,Manual,"EMI ₹3,136/m*",₹1.41 lakh
36,Hyundai i10,Hyundai,2013,"69,998 km",Petrol,Manual,"EMI ₹8,473/m*",₹1.80 lakh
37,Honda Jazz,Honda,2018,"64,906 km",Petrol,Auto,"EMI ₹8,632/m*",₹4.89 lakh
38,Hyundai Grand i10,Hyundai,2013,"28,268 km",Petrol,Manual,"EMI ₹12,242/m*",₹2.60 lakh
39,Hyundai i20,Hyundai,2012,"99,234 km",Petrol,Auto,"EMI ₹26,299/m*",₹2.96 lakh
40,Hyundai AURA,Hyundai,2022,"1,21,535 km",CNG,Manual,"EMI ₹10,344/m*",₹4.65 lakh
41,Maruti Alto 800,Maruti,2015,"49,127 km",Petrol,Manual,"EMI ₹4,845/m*",₹1.84 lakh
42,Renault Kwid,Renault,2016,"67,389 km",Petrol,Manual,"EMI ₹3,337/m*",₹1.50 lakh
43,Tata Tiago,Tata,2019,"56,667 km",Petrol,Manual,"EMI ₹6,758/m*",₹3.83 lakh
44,Volkswagen TAIGUN,Volkswagen,2021,"91,699 km",Petrol,Manual,"EMI ₹15,188/m*",₹8.87 lakh
45,Hyundai Eon,Hyundai,2018,"53,338 km",Petrol,Manual,"EMI ₹3,319/m*",₹1.88 lakh
46,Maruti Swift,Maruti,2017,"67,049 km",Petrol,Manual,"EMI ₹7,370/m*",₹3.77 lakh
47,Maruti Alto K10,Maruti,2022,"51,407 km",CNG,Manual,"EMI ₹5,349/m*",₹3.03 lakh
48,Tata Tiago,Tata,2017,"21,763 km",Petrol,Auto,"EMI ₹7,293/m*",₹3.73 lakh
49,Datsun Go,Datsun,2014,"61,499 km",Petrol,Manual,"EMI ₹3,222/m*",₹0.97 lakh
50,Renault Kwid,Renault,2020,"56,092 km",Petrol,Manual,"EMI ₹5,208/m*",₹2.95 lakh
51,Maruti Swift,Maruti,2012,"85,824 km",Diesel,Manual,"EMI ₹5,208/m*",₹2.25 lakh
52,Hyundai Eon,Hyundai,2014,"74,909 km",Petrol,Manual,"EMI ₹4,750/m*",₹1.43 lakh
53,Ford Ecosport,Ford,2016,"1,24,250 km",Petrol,Manual,"EMI ₹8,364/m*",₹3.76 lakh
54,Tata Tiago,Tata,2018,"30,617 km",Petrol,Manual,"EMI ₹5,673/m*",₹3.21 lakh
55,Hyundai Grand i10,Hyundai,2017,"98,354 km",Petrol,Auto,"EMI ₹6,217/m*",₹3.18 lakh
56,Ford Ecosport,Ford,2014,"1,06,662 km",Petrol,Manual,"EMI ₹10,961/m*",₹3.30 lakh
57,Ford Ecosport,Ford,2016,"1,49,073 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
58,Tata NEXON,Tata,2021,"43,360 km",Petrol,Manual,"EMI ₹8,985/m*",₹5.09 lakh
59,Renault Kwid,Renault,2019,"74,559 km",Petrol,Manual,"EMI ₹3,160/m*",₹1.79 lakh
60,Tata NEXON,Tata,2020,"93,924 km",Diesel,Manual,"EMI ₹10,380/m*",₹5.88 lakh
61,Maruti Swift,Maruti,2013,"79,274 km",Petrol,Manual,"EMI ₹13,934/m*",₹2.96 lakh
62,Hyundai VENUE,Hyundai,2019,"63,145 km",Petrol,Manual,"EMI ₹10,397/m*",₹5.89 lakh
63,Renault Kwid,Renault,2018,"61,303 km",Petrol,Manual,"EMI ₹4,696/m*",₹2.66 lakh
64,Maruti Dzire,Maruti,2018,"47,350 km",Petrol,Auto,"EMI ₹9,179/m*",₹5.20 lakh
65,Hyundai Eon,Hyundai,2016,"36,637 km",Petrol,Manual,"EMI ₹3,937/m*",₹1.77 lakh
66,Tata TIGOR,Tata,2022,"84,798 km",CNG,Manual,"EMI ₹7,944/m*",₹4.50 lakh
67,Hyundai Xcent,Hyundai,2015,"66,939 km",Petrol,Manual,"EMI ₹7,612/m*",₹2.89 lakh
68,Hyundai Eon,Hyundai,2014,"25,483 km",Petrol,Manual,"EMI ₹4,285/m*",₹1.29 lakh
69,MG HECTOR PLUS,MG,2020,"40,546 km",Petrol,Auto,"EMI ₹18,081/m*",₹10.56 lakh
70,Renault Kwid,Renault,2017,"31,419 km",Petrol,Auto,"EMI ₹4,516/m*",₹2.31 lakh
71,Renault Kwid,Renault,2017,"1,17,607 km",Petrol,Manual,"EMI ₹3,448/m*",₹1.55 lakh
72,Renault Kwid,Renault,2016,"52,041 km",Petrol,Manual,"EMI ₹3,515/m*",₹1.58 lakh
73,Renault Kwid,Renault,2016,"91,411 km",Petrol,Manual,"EMI ₹3,782/m*",₹1.70 lakh
74,Hyundai NEW SANTRO,Hyundai,2018,"94,399 km",Petrol,Manual,"EMI ₹4,855/m*",₹2.75 lakh
75,Honda Jazz,Honda,2017,"1,24,203 km",Petrol,Manual,"EMI ₹9,788/m*",₹4.40 lakh
76,Mahindra KUV 100 NXT,Mahindra,2018,"17,136 km",CNG,Manual,"EMI ₹6,696/m*",₹3.01 lakh
77,Maruti Swift Dzire,Maruti,2013,"68,996 km",Petrol,Manual,"EMI ₹13,981/m*",₹2.97 lakh
78,Hyundai Creta,Hyundai,2016,"92,737 km",Petrol,Auto,"EMI ₹13,887/m*",₹6.24 lakh
79,Hyundai Verna,Hyundai,2020,"82,278 km",Petrol,Auto,"EMI ₹13,869/m*",₹8.10 lakh
80,Tata Tiago,Tata,2016,"52,175 km",CNG,Manual,"EMI ₹9,931/m*",₹2.99 lakh
81,Nissan Kicks,Nissan,2020,"48,574 km",Petrol,Manual,"EMI ₹11,625/m*",₹6.59 lakh
82,Honda Amaze,Honda,2015,"55,169 km",Petrol,Manual,"EMI ₹7,189/m*",₹2.73 lakh
83,Renault Kwid,Renault,2017,"39,400 km",Petrol,Auto,"EMI ₹5,024/m*",₹2.57 lakh
84,Maruti Swift,Maruti,2015,"1,19,459 km",Petrol,Manual,"EMI ₹10,507/m*",₹3.99 lakh
85,Renault Kwid,Renault,2019,"44,759 km",Petrol,Manual,"EMI ₹4,655/m*",₹2.64 lakh
86,Maruti Alto K10,Maruti,2016,"72,853 km",Petrol,Auto,"EMI ₹5,917/m*",₹2.66 lakh
87,Hyundai Creta,Hyundai,2017,"40,310 km",Petrol,Manual,"EMI ₹12,610/m*",₹6.45 lakh
88,Hyundai Verna,Hyundai,2016,"98,255 km",Petrol,Manual,"EMI ₹10,499/m*",₹4.72 lakh
89,Hyundai Elite i20,Hyundai,2015,"68,266 km",Petrol,Manual,"EMI ₹10,861/m*",₹4.12 lakh
90,Maruti Celerio,Maruti,2015,"54,933 km",Petrol,Auto,"EMI ₹7,734/m*",₹2.94 lakh
91,Hyundai i20,Hyundai,2012,"44,196 km",Diesel,Manual,"EMI ₹7,734/m*",₹2.99 lakh
